S.no ,Title,Links
1,HTML ,https://www.courseya.com/html-mcq/
2,PHP,https://www.courseya.com/php-mcq/
3,CSS,https://www.courseya.com/css-mcq/
4,WORDPRESS,https://www.courseya.com/wordpress-mcq/
5,OPERATING SYSTEM,https://www.courseya.com/operating-system-mcq/
6,MICROCONTROLLER,https://www.courseya.com/microcontroller-mcq/
7,C++,https://www.courseya.com/cplus-plus-mcq/
8,NLP,https://www.courseya.com/nlp-mcq/
9,Artificial Intelligence,https://www.courseya.com/artificial-intelligence-mcq/
10,Data Structures,https://www.courseya.com/data-structure-mcq/
11,Computer graphics,https://www.courseya.com/computer-graphics-mcq/
12,Python,https://www.courseya.com/python-mcq/
13,Java,https://www.courseya.com/java-mcq/
14,Java Script,https://www.courseya.com/javascript-mcq/
15,OOPS,https://www.courseya.com/oops-mcq-questions/
16,React JS,https://www.courseya.com/react-js-mcq/
17,Angular JS,https://www.courseya.com/angular-js-mcq/
18,Node JS,https://www.courseya.com/node-js-mcq/
19,Json ,https://www.courseya.com/json-mcq/
20,Angular 2,https://www.courseya.com/angular-2-mcq/
21,Android ,https://www.courseya.com/android-mcq/
22,Dbms ,https://www.courseya.com/dbms-mcq/
23,Compiler DESIGN,https://www.courseya.com/compiler-design-mcq/
24,Computer NETWORK,https://www.courseya.com/computer-network-mcq-questions/
25,Sql SERVER,https://www.courseya.com/sql-server-mcq-questions/
26,Linux ,https://www.courseya.com/linux-mcq-questions/
