S. No.,Title,Links
1,Linear Convolution using C and MATLAB,https://www.geeksforgeeks.org/linear-convolution-using-c-and-matlab/
2,Twitter Sentiment Analysis WebApp Using Flask,https://www.geeksforgeeks.org/twitter-sentiment-analysis-webapp-using-flask/
3,Restaurant Review Analysis Using NLP and SQLite,https://www.geeksforgeeks.org/restaurant-review-analysis-using-nlp-and-sqlite/
4,IPL Score Prediction using Deep Learning,https://www.geeksforgeeks.org/ipl-score-prediction-using-deep-learning/
5,Personalized Task Manager in Python,https://www.geeksforgeeks.org/personalized-task-manager-in-python/
6,E-commerce Website using Django,https://www.geeksforgeeks.org/e-commerce-website-using-django/
7,How to Build a Cryptocurrency Tracker Android App?,https://www.geeksforgeeks.org/how-to-build-a-cryptocurrency-tracker-android-app/
8,Digital Image Processing Algorithms using MATLAB,https://www.geeksforgeeks.org/digital-image-processing-algorithms-using-matlab/
9,Hearing aids for Impaired People using MATLAB,https://www.geeksforgeeks.org/digital-image-processing-algorithms-using-matlab/
10,Information Entropy using MATLAB,https://www.geeksforgeeks.org/information-entropy-using-matlab/
11,How to Run Python Flask App Online using Ngrok?,https://www.geeksforgeeks.org/how-to-run-python-flask-app-online-using-ngrok/
12,Human Activity Recognition – Using Deep Learning Model,https://www.geeksforgeeks.org/human-activity-recognition-using-deep-learning-model/
13,Weather app using Django | Python,https://www.geeksforgeeks.org/weather-app-using-django-python/
14,Voting System Project Using Django Framework,https://www.geeksforgeeks.org/voting-system-project-using-django-framework/
15,Personal Voice Assistant in Python,https://www.geeksforgeeks.org/personal-voice-assistant-in-python/
16,A Group chat application in Java,https://www.geeksforgeeks.org/a-group-chat-application-in-java/
17,Generating Password and OTP in Java,https://www.geeksforgeeks.org/generating-password-otp-java/
18,Tumor Detection using classification – Machine Learning and Python,https://www.geeksforgeeks.org/tumor-detection-using-classification-machine-learning-and-python/
19,Visiting Card Scanner GUI Application using Python,https://www.geeksforgeeks.org/visiting-card-scanner-gui-application-using-python/
20,"Multi-Messenger : A python project, messaging via Terminal",https://www.geeksforgeeks.org/multi-messenger-python-project-messaging-via-terminal/
