S. No.,Title,Links
1,Transformer Conversational Chatbot in Python using TensorFlow ,https://nevonprojects.com/transformer-conversational-chatbot-in-python-using-tensorflow-2-0/
2,Doctor Appointment with disease Prediction App,https://nevonprojects.com/doctor-appointment-booking-live-chat-app/
3,Diabetes Prediction Using Data Mining,https://nevonprojects.com/diabetes-prediction-using-data-mining/
4,Hotel Recommendation System Based on Hybrid Recommendation Model,https://nevonprojects.com/hotel-recommendation-system-based-on-hybrid-recommendation-model/
5,TV Show Popularity Analysis Using Data Mining,https://nevonprojects.com/tv-show-popularity-analysis-using-data-mining/
6,Movie Success Prediction Using Data Mining Php,https://nevonprojects.com/movie-success-prediction-using-data-mining-php/
7,College Enquiry Chat Bot,https://nevonprojects.com/college-enquiry-chat-bot/
8,Facial Emotion Detection using Convolutional Neural Network,https://nevonprojects.com/facial-emotion-detection-using-convolutional-neural-network/
9,Driver Drowsiness Detection System for Accident Prevention,https://nevonprojects.com/driver-drowsiness-detection-system-for-accident-prevention/
10,Data Mining for Sales Prediction in Tourism Industry,https://nevonprojects.com/data-mining-for-sales-prediction-in-tourism-industry/
11,Teachers Automatic Time-Table Software Generation System using PHP,https://nevonprojects.com/teachers-automatic-time-table-software-generation-system-using-php/
12,Cancer Prediction System using Naive Bayes,https://nevonprojects.com/cancer-prediction-system-using-naive-bayes/
13,Facial Emotion Recognition and Detection in Python using Deep Learning,https://nevonprojects.com/facial-emotion-recognition-and-detection-in-python-using-deep-learning/
14,Artificial Intelligence HealthCare Chatbot System,https://nevonprojects.com/artificial-intelligence-healthcare-chatbot-system/
15,Read Me My Book App,https://nevonprojects.com/read-me-my-book-app/
16,Customer Focused Ecommerce Site With AI Bot,https://nevonprojects.com/customer-focused-ecommerce-site-with-ai-bot/
17,Personality Prediction System Through CV Analysis,https://nevonprojects.com/personality-prediction-system-through-cv-analysis/
18,Real Estate Search Based On Data Mining,https://nevonprojects.com/real-estate-search-based-on-data-mining/
19,Smart Health Prediction Using Data Mining,https://nevonprojects.com/smart-health-prediction-using-data-mining/
20,Android General Knowledge Chatbot,https://nevonprojects.com/android-chatbot-helpdesk-project/
