S. No.,Title,Links
1,Get Desktop Notifications with Python,https://thecleverprogrammer.com/2021/01/07/desktop-notification-with-python/
2,Extract Text from videos with Python,https://thecleverprogrammer.com/2020/12/25/extract-text-from-videos-using-python/
3,Bar Code and QR Code Reader using Python,https://thecleverprogrammer.com/2020/10/23/barcode-and-qr-code-reader-with-python/
4,Web Scrapper with Python,https://thecleverprogrammer.com/2020/10/01/web-scraper-with-python/
5,Text Editor GUI in Python,https://thecleverprogrammer.com/2020/09/25/text-editor-gui-with-python/
6,Deploy a Chatbot using Python,https://thecleverprogrammer.com/2020/08/21/deploy-a-chatbot-with-python/
7,Clock APP with Python,https://thecleverprogrammer.com/2020/05/10/python-clock-app-with-kivy/
8,Face Detection using Python,https://thecleverprogrammer.com/2020/10/09/face-detection-with-python/
9,Fake Currency Detection with Machine Learning,https://thecleverprogrammer.com/2020/09/29/fake-currency-detection-with-machine-learning/
10,Rainfall Prediction with Machine Learning,https://thecleverprogrammer.com/2020/09/11/rainfall-prediction-with-machine-learning/
11,Create a 3D Video with Python and Machine Learning,https://thecleverprogrammer.com/2020/09/14/3d-video-with-python/
12,Natural Language Processing (NLP) on WhatsApp Chats,https://thecleverprogrammer.com/2020/07/16/nlp-for-whatsapp-chats/
13,Real-time Gender Detection using Python,https://thecleverprogrammer.com/2021/06/18/real-time-gender-detection-using-python/
14,Amazon Alexa Reviews Sentiment Analysis using Python,https://thecleverprogrammer.com/2021/06/12/amazon-alexa-reviews-sentiment-analysis-using-python/
15,Currency Exchange Rate Prediction with Machine Learning,https://thecleverprogrammer.com/2021/05/22/currency-exchange-rate-prediction-with-machine-learning/
16,Covid-19 Vaccine Sentiment Analysis,https://thecleverprogrammer.com/2021/01/11/covid-19-vaccine-sentiment-analysis/
17,Covid-19 Cases Prediction with Python,https://thecleverprogrammer.com/2020/11/29/covid-19-cases-prediction-with-python/
18,Chatbot with Machine Learning and Python,https://thecleverprogrammer.com/2020/11/01/chatbot-with-machine-learning-and-python/
19,OpenAI Gym in Machine Learning,https://thecleverprogrammer.com/2020/07/26/openai-gym-in-machine-learning/
20,Handwriting Recognition with Python,https://thecleverprogrammer.com/2020/10/10/handwriting-recognition-with-python/
